Outcome,Feature_Set,Model,N,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,p_perm
BDI-II,Personality,Elastic Net,779,0.08721418469757174,0.07170486550670224,-0.07984869283947776,0.19577370267461716,0.004975124378109453
BDI-II,Personality,Ridge,779,0.08589948064011958,0.07266274498543934,-0.08115556220310555,0.19572428129275185,0.004975124378109453
BDI-II,Personality,Random Forest,779,0.05775607254033043,0.08567448103828385,-0.1355555265053919,0.190577708659639,0.004975124378109453
BDI-II,Personality,SVR,779,0.017305968895517984,0.10525470185753473,-0.2031872523680458,0.19699530105171384,0.004975124378109453
STAI,Personality,Elastic Net,799,0.19503025061314821,0.07736681929132683,0.036333197149636606,0.32670796236992944,0.004975124378109453
STAI,Personality,Ridge,799,0.19377324784420558,0.0791055406306036,0.027519770351941423,0.32816795316228925,0.004975124378109453
STAI,Personality,Random Forest,799,0.17832850044104334,0.08729833319794805,-0.0070005279809281715,0.3067080121333707,0.004975124378109453
STAI,Personality,SVR,799,0.16449395791769306,0.07694615853186927,0.004427508111041452,0.2941718708052314,0.004975124378109453
PSS-10,Personality,Elastic Net,800,0.13692098167525169,0.07782174808887761,-0.01390305863919105,0.26025732709639765,0.004975124378109453
PSS-10,Personality,Ridge,800,0.13738292453685585,0.0791992733067779,-0.015514706776433372,0.2557989592180734,0.004975124378109453
PSS-10,Personality,Random Forest,800,0.13413666124789209,0.08999500309403383,-0.07070047098571952,0.26161837117351283,0.004975124378109453
PSS-10,Personality,SVR,800,0.11329744886043404,0.07343052841869045,-0.02693470071942362,0.23689331784259565,0.004975124378109453
CESD,Personality,Elastic Net,800,0.089270068655555,0.0763897789316718,-0.06502057018717089,0.2015566925029786,0.004975124378109453
CESD,Personality,Ridge,800,0.08952261304720201,0.0770272112286393,-0.06752723418836383,0.20167094982891043,0.004975124378109453
CESD,Personality,Random Forest,800,0.09071099938870893,0.093012424747803,-0.05877297429624194,0.22141779914714568,0.004975124378109453
CESD,Personality,SVR,800,0.055977990909515496,0.07657653486568063,-0.10595975553587568,0.17430829858246627,0.004975124378109453
UCLA,Personality,Elastic Net,798,0.08487770769669029,0.06896363044417485,-0.07112740946787412,0.17821536609609237,0.004975124378109453
UCLA,Personality,Ridge,798,0.08511325206346314,0.06931066739645338,-0.07350812507981677,0.1803194940976952,0.004975124378109453
UCLA,Personality,Random Forest,798,0.05511200973123159,0.06108074711768549,-0.104157593843239,0.13998853689121155,0.004975124378109453
UCLA,Personality,SVR,798,0.06561963466115052,0.05427195329343805,-0.06724890211179137,0.15498368217043312,0.004975124378109453
