Outcome,Feature_Set,Model,N,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,p_perm
CESD,Personality,Elastic Net,800,0.089270068655555,0.0763897789316718,-0.06502057018717089,0.2015566925029786,0.004975124378109453
CESD,Personality,Ridge,800,0.08952261304720201,0.0770272112286393,-0.06752723418836383,0.20167094982891043,0.004975124378109453
CESD,Personality,Random Forest,800,0.09071099938870893,0.093012424747803,-0.05877297429624194,0.22141779914714568,0.004975124378109453
CESD,Personality,SVR,800,0.055977990909515496,0.07657653486568063,-0.10595975553587568,0.17430829858246627,0.004975124378109453
CESD,Behavior,Elastic Net,596,-0.013242463478218749,0.036819463063863085,-0.09635137631401439,0.038618532567063046,0.23880597014925373
CESD,Behavior,Ridge,596,-0.012457510886147594,0.0379923134505261,-0.09764288710335388,0.04147976464863525,0.23880597014925373
CESD,Behavior,Random Forest,596,-0.014868816901468053,0.04406787615106212,-0.11451063496606362,0.051351752005196136,0.12437810945273632
CESD,Behavior,SVR,596,-0.024300515242563207,0.034189937324687135,-0.11318701567190399,0.009716627732249667,0.263681592039801
CESD,Pers+Beh,Elastic Net,594,0.07380120726517247,0.08904316241707834,-0.09748244824625162,0.2262944334945122,0.004975124378109453
CESD,Pers+Beh,Ridge,594,0.07311427182795399,0.08971822916494014,-0.1005979642126516,0.23382724319807127,0.004975124378109453
CESD,Pers+Beh,Random Forest,594,0.06546812712458876,0.08637559656267962,-0.08836992063370602,0.218500108613783,0.004975124378109453
CESD,Pers+Beh,SVR,594,0.05761282887358048,0.0976580291997489,-0.1580642789214441,0.21938501089560652,0.004975124378109453
