Outcome,Feature_Set,Model,N,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,p_perm
UCLA,Personality,Elastic Net,798,0.08487770769669029,0.06896363044417485,-0.07112740946787412,0.17821536609609237,0.004975124378109453
UCLA,Personality,Ridge,798,0.08511325206346314,0.06931066739645338,-0.07350812507981677,0.1803194940976952,0.004975124378109453
UCLA,Personality,Random Forest,798,0.05511200973123159,0.06108074711768549,-0.104157593843239,0.13998853689121155,0.004975124378109453
UCLA,Personality,SVR,798,0.06561963466115052,0.05427195329343805,-0.06724890211179137,0.15498368217043312,0.004975124378109453
UCLA,Behavior,Elastic Net,594,-0.03328813038127293,0.04376063024259837,-0.14897539176661964,0.0040020179524362575,0.900497512437811
UCLA,Behavior,Ridge,594,-0.03169143057030214,0.04530578744494493,-0.1536703537702278,0.0060287669486981865,0.8656716417910447
UCLA,Behavior,Random Forest,594,-0.017260428236912557,0.06264103056947601,-0.15064118580518945,0.08173561496511084,0.10945273631840796
UCLA,Behavior,SVR,594,-0.012383290498656436,0.05549191758670373,-0.13152775522017698,0.07000001805308755,0.06467661691542288
UCLA,Pers+Beh,Elastic Net,592,0.07098827359904379,0.07287857955594405,-0.060438760152054474,0.18735875384985795,0.004975124378109453
UCLA,Pers+Beh,Ridge,592,0.07007012171126055,0.07448769099962224,-0.06527630023440466,0.18670615981598895,0.004975124378109453
UCLA,Pers+Beh,Random Forest,592,0.04630934145406496,0.06223657337238154,-0.08073800589804953,0.13704181566018153,0.004975124378109453
UCLA,Pers+Beh,SVR,592,0.05322035993349613,0.06946881831441114,-0.09175133455093742,0.15472255679988728,0.004975124378109453
