Outcome,Full_R2,NoCovid_R2,Delta,N_full,N_no_covid
BDI-II,0.08589948064011958,0.08606358685426231,0.00016410621414272852,779,632
STAI,0.19377324784420558,0.18111788560107303,-0.012655362243132545,799,652
PSS-10,0.13738292453685585,0.12964906937046017,-0.007733855166395687,800,653
CESD,0.08952261304720201,0.08876676309216133,-0.0007558499550406744,800,653
UCLA,0.08511325206346314,0.0805995305611667,-0.004513721502296439,798,651
