Model,extraversion,agreeableness,conscientiousness,neuroticism,openness
Elastic Net,0.0,0.2766516234088578,1.0487737787649585,2.2956376972789623,0.0
Ridge,0.011757622847615916,0.3416827660057628,1.060433218604527,2.2452737489459182,0.028739281321576614
Random Forest,0.3528893667561119,0.6051982200268797,1.2919113424941502,2.3722593805531664,0.29183692860207844
SVR,0.655348344371897,0.7988994989433033,1.4748449602133786,2.3351235603329337,0.6578315251087412
