Outcome,Feature_Set,Model,N,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,p_perm
PSS-10,Personality,Elastic Net,800,0.13692098167525169,0.07782174808887761,-0.01390305863919105,0.26025732709639765,0.004975124378109453
PSS-10,Personality,Ridge,800,0.13738292453685585,0.0791992733067779,-0.015514706776433372,0.2557989592180734,0.004975124378109453
PSS-10,Personality,Random Forest,800,0.13413666124789209,0.08999500309403383,-0.07070047098571952,0.26161837117351283,0.004975124378109453
PSS-10,Personality,SVR,800,0.11329744886043404,0.07343052841869045,-0.02693470071942362,0.23689331784259565,0.004975124378109453
PSS-10,Behavior,Elastic Net,595,-0.01756868512814368,0.033443795223907384,-0.1012622870974497,0.017913066709537517,0.46766169154228854
PSS-10,Behavior,Ridge,595,-0.015497609369991356,0.035803131441008926,-0.0999483723507984,0.03141844839992317,0.2885572139303483
PSS-10,Behavior,Random Forest,595,-0.00422969814541813,0.04633225153256985,-0.10715121238912749,0.06467131650670228,0.014925373134328358
PSS-10,Behavior,SVR,595,-0.016965795987425036,0.026009019422354535,-0.09131322798396088,0.01028913039206909,0.3880597014925373
PSS-10,Pers+Beh,Elastic Net,594,0.14042596445058197,0.07944269704722343,-0.027360963501263772,0.2828301907755938,0.004975124378109453
PSS-10,Pers+Beh,Ridge,594,0.14023498268404466,0.08173157245569972,-0.03221851149293658,0.2836898267972256,0.004975124378109453
PSS-10,Pers+Beh,Random Forest,594,0.10853957410239247,0.08596287939822445,-0.034240897371357534,0.24907654549002298,0.004975124378109453
PSS-10,Pers+Beh,SVR,594,0.11593098637333238,0.07980661100695077,-0.07046808740755495,0.24577961875506,0.004975124378109453
