Study,Outcome,Split_type,Subgroup,N,R2_sensing,R2_personality,R2_combined
S2,CES-D,Clinical,Clinical/High,103,-0.6961643518385463,-0.6392504645871621,-0.7381070297861605
S2,CES-D,Clinical,Subclinical/Low,260,-0.05286131086831526,0.05086347295119622,0.03313477566336146
S2,CES-D,Neuroticism,High-N,201,-0.06606979225146349,0.18228742157202532,0.18448931968065518
S2,CES-D,Neuroticism,Low-N,162,-0.09602147007671583,-0.015391581229619098,-0.05384603321418696
S2,STAI,Clinical,Clinical/High,92,-0.4875701417284134,0.0639351696268255,-0.07491755397503144
S2,STAI,Clinical,Subclinical/Low,271,-0.038553538444363454,0.34609619058348456,0.3391116533057993
S2,STAI,Neuroticism,High-N,201,-0.06275497643924345,0.32133378185552985,0.31289539451491233
S2,STAI,Neuroticism,Low-N,162,-0.14977948690947,0.1379766876937049,0.0936423754896807
S3,BDI-II,Clinical,Clinical/High,234,-0.08336723202616833,-0.07380579363349589,-0.06634950839616728
S3,BDI-II,Clinical,Subclinical/Low,354,-0.0032086687277992645,0.016478458838832585,0.03203308840933127
S3,BDI-II,Neuroticism,High-N,299,-0.0695386158546998,-0.007116491653509436,-0.03069150923417401
S3,BDI-II,Neuroticism,Low-N,289,-0.03569823383118751,-0.015842482669456308,-0.015140237265058486
S3,STAI-State,Clinical,Clinical/High,304,-0.07375001495862443,-0.0364069238010433,-0.05402636349447215
S3,STAI-State,Clinical,Subclinical/Low,289,-0.032289760448233916,0.07835464964039521,0.07586137859727654
S3,STAI-State,Neuroticism,High-N,302,-0.060935437376628855,-0.027914170925651495,-0.03951719880938599
S3,STAI-State,Neuroticism,Low-N,291,-0.03569826508959634,0.07925054825365883,0.06256632055886811
S3,PSS-10,Clinical,Clinical/High,334,-0.06269406458855638,0.03414866572644533,0.028376506936007496
S3,PSS-10,Clinical,Subclinical/Low,260,-0.09193520163698152,-0.0024380540398626295,-0.02804170415784503
S3,PSS-10,Neuroticism,High-N,303,-0.06355201089333849,0.010567880565621447,-0.007786425764359053
S3,PSS-10,Neuroticism,Low-N,291,-0.057105535843031754,0.020341016241025123,-0.0071286940979999125
