Outcome,Modality,N_features,N,R2_modality_only,R2_personality,R2_pers_plus_mod,Delta_R2
CES-D,Activity,11,455,-0.028905150770336716,0.27879489818441305,0.26201926584346685,-0.0167756323409462
CES-D,Sleep,7,451,-0.05114146949469078,0.27879489818441305,0.26128045654907806,-0.017514441635335
CES-D,Communication,7,385,-0.052054174344258464,0.27879489818441305,0.30830206065094073,0.02950716246652768
STAI,Activity,11,455,-0.0077529390826586875,0.522189873186611,0.5286612288671313,0.006471355680520263
STAI,Sleep,7,451,-0.03257007645752422,0.522189873186611,0.535190018062181,0.013000144875569997
STAI,Communication,7,385,-0.0611206212669035,0.522189873186611,0.5246909224469108,0.0025010492602998147
BAI,Activity,11,455,-0.009417028710159526,0.17571050589870915,0.17215310260272748,-0.0035574032959816704
BAI,Sleep,7,451,-0.03845382756850347,0.17571050589870915,0.18355049257760303,0.007839986678893879
BAI,Communication,7,385,-0.06561519204753145,0.17571050589870915,0.18291007801799125,0.007199572119282099
