Study,Outcome,Modality,N_features,N,R2_pers_only,R2_pers_plus_mod,Delta_R2
S3,BDI-II,Activity,4,662,0.08511025202784929,0.09844111607946028,0.013330864051610991
S3,BDI-II,Sleep,4,657,0.08511025202784929,0.10277778831466515,0.01766753628681586
S3,BDI-II,Communication,4,681,0.08511025202784929,0.0850765506985456,-3.370132930369252e-05
S3,BDI-II,Screen,3,684,0.08511025202784929,0.07973238421420385,-0.005377867813645437
S3,BDI-II,Location,4,618,0.08511025202784929,0.07184775663140122,-0.013262495396448068
S3,STAI,Activity,4,667,0.19346015974193786,0.20139416375064953,0.007934004008711665
S3,STAI,Sleep,4,662,0.19346015974193786,0.21732642260963883,0.023866262867700966
S3,STAI,Communication,4,693,0.19346015974193786,0.19009486068621656,-0.0033652990557213047
S3,STAI,Screen,3,696,0.19346015974193786,0.18672843596853955,-0.006731723773398313
S3,STAI,Location,4,630,0.19346015974193786,0.1635809846180685,-0.029879175123869367
S3,PSS-10,Activity,4,668,0.13731903281376692,0.14102416296343337,0.003705130149666447
S3,PSS-10,Sleep,4,663,0.13731903281376692,0.1473334360816175,0.01001440326785058
S3,PSS-10,Communication,4,694,0.13731903281376692,0.14901244056014437,0.011693407746377449
S3,PSS-10,Screen,3,697,0.13731903281376692,0.14160818870425687,0.0042891558904899485
S3,PSS-10,Location,4,631,0.13731903281376692,0.14357192737923838,0.006252894565471456
S3,CESD,Activity,4,668,0.08989018143501454,0.08878012226857743,-0.0011100591664371107
S3,CESD,Sleep,4,663,0.08989018143501454,0.08389106002686887,-0.005999121408145666
S3,CESD,Communication,4,694,0.08989018143501454,0.0971927461902546,0.007302564755240062
S3,CESD,Screen,3,697,0.08989018143501454,0.0853608396240021,-0.004529341811012444
S3,CESD,Location,4,631,0.08989018143501454,0.07277789594404592,-0.017112285490968618
S3,UCLA,Activity,4,666,0.08468960780929737,0.08096385886967897,-0.003725748939618398
S3,UCLA,Sleep,4,661,0.08468960780929737,0.08268245297390628,-0.0020071548353910867
S3,UCLA,Communication,4,692,0.08468960780929737,0.06079254424593202,-0.023897063563365344
S3,UCLA,Screen,3,695,0.08468960780929737,0.06329072330894397,-0.02139888450035339
S3,UCLA,Location,4,629,0.08468960780929737,0.05861886941768197,-0.026070738391615396
S2,CES-D,Fitbit Activity,11,455,0.25864263730699283,0.2446370235815299,-0.01400561372546294
S2,CES-D,Fitbit Sleep,8,451,0.25864263730699283,0.22283756030580057,-0.03580507700119226
S2,CES-D,Communication,7,385,0.25864263730699283,0.2902277108825866,0.03158507357559376
S2,STAI,Fitbit Activity,11,455,0.51564471303096,0.5205432367104043,0.004898523679444211
S2,STAI,Fitbit Sleep,8,451,0.51564471303096,0.5229782676582446,0.0073335546272845775
S2,STAI,Communication,7,385,0.51564471303096,0.5195709799313201,0.00392626690036002
S2,BAI,Fitbit Activity,11,455,0.15264518019347434,0.17166883998852792,0.019023659795053577
S2,BAI,Fitbit Sleep,8,451,0.15264518019347434,0.1613656805742107,0.008720500380736351
S2,BAI,Communication,7,385,0.15264518019347434,0.13386078942288201,-0.018784390770592324
