Study,Outcome,N_hard,N_easy,R2_pers_hard,R2_both_hard,R2_sens_residual_hard,R2_pers_easy,R2_both_easy,R2_sens_residual_easy
S2,CES-D,181,182,0.12927010166394706,0.1167468787750103,-0.03895943425053219,0.7927860540737803,0.7856461607183314,-0.10604512174975994
S2,STAI,181,182,0.2856324044987133,0.2669748742023299,-0.07589846958992488,0.9143133642645134,0.9123951383764601,-0.08691934132448559
S2,BAI,181,182,0.021615298110066544,-0.012108478922350879,-0.0701778836446795,0.6469537918496796,0.6433480472266824,-0.031208972324458933
S3,BDI-II,294,294,-0.044177294746819584,-0.0006448889523782242,0.007161489479854062,0.5812816774231148,0.5668862586534533,-0.05244864413345509
S3,STAI,296,297,0.040759139084602845,0.047262946263988546,-0.013207261793118702,0.7057337946934895,0.6995266630669366,-0.04061654876723806
S3,PSS-10,297,297,0.02508201914217232,0.011090644833876371,-0.05220408524807016,0.5929477193320403,0.5841290237898507,-0.046540280614115054
