N_days,Outcome,N,R2_behavior,R2_personality,R2_combined
7,BDI-II,593,-0.03153394046284052,0.09462995314432503,0.08818862129741319
7,STAI,594,0.00442936586304723,0.19765706674343464,0.1993710505473294
7,PSS-10,595,-0.021666703051957573,0.15390300375680632,0.1320264628344536
7,CESD,596,-0.0017883139923757074,0.0967888142759805,0.06788969994139485
7,UCLA,594,-0.019277911758003575,0.08030456165239855,0.05573725027285542
14,BDI-II,593,-0.03266712346840136,0.09462995314432503,0.08451409100382716
14,STAI,594,-0.0024700906398853473,0.19765706674343464,0.1947058298641008
14,PSS-10,595,-0.021103195401252828,0.15390300375680632,0.13252661563639034
14,CESD,596,-0.0036639536688160357,0.0967888142759805,0.06955144363891352
14,UCLA,594,-0.026676984844278547,0.08030456165239855,0.0511807600328231
30,BDI-II,593,-0.011910843697435735,0.09462995314432503,0.09181898503657322
30,STAI,594,-0.007618951945199237,0.19765706674343464,0.19092553415083988
30,PSS-10,595,-0.009757011844284649,0.15390300375680632,0.13813238816577078
30,CESD,596,0.00042923788862943903,0.0967888142759805,0.0667751792390239
30,UCLA,594,-0.035921513292646104,0.08030456165239855,0.04866202563943807
60,BDI-II,593,-0.010640737279630495,0.09462995314432503,0.09309644099786415
60,STAI,594,-0.012404867718738206,0.19765706674343464,0.18855846716724983
60,PSS-10,595,-0.0009334617964205494,0.15390300375680632,0.15266163179286596
60,CESD,596,-0.0027879209765964276,0.0967888142759805,0.0651761444035082
60,UCLA,594,-0.04126658868014379,0.08030456165239855,0.05209524249538757
92,BDI-II,593,0.0012374882762656058,0.09462995314432503,0.10165294707506278
92,STAI,594,0.0027974471676942914,0.19765706674343464,0.19468507585860909
92,PSS-10,595,0.008577059984994055,0.15390300375680632,0.15602775622281498
92,CESD,596,0.013983658427269022,0.0967888142759805,0.07484152264483
92,UCLA,594,-0.04417068044331844,0.08030456165239855,0.05830968535224832
