Study,Outcome,N,R2_concatenation,R2_stacking,Delta
S2,CES-D,363,0.3211760935162182,0.31913996221669066,-0.0020361312995275105
S2,STAI,363,0.5373738351629873,0.5391071248600879,0.0017332896971006262
S2,BAI,363,0.17421485155929461,0.18462556264567342,0.01041071108637881
S3,BDI-II,588,0.10925371013118401,0.10873810441055315,-0.0005156057206308629
S3,STAI,593,0.20188549241793488,0.201954658066002,6.91656480671099e-05
S3,PSS-10,594,0.14548540206419858,0.14644494816979498,0.0009595461055963983
S3,CESD,594,0.07479360805083057,0.07890102768739186,0.004107419636561291
S3,UCLA,592,0.07140663665596808,0.07650872350811105,0.005102086852142973
