Study,Outcome,N,N_sleep_features,R2_ridge_pers_sleep,R2_RF_pers_sleep,R2_GB_pers_sleep,R2_RF_sleep_only
S3,BDI-II,657,4,0.10845694898411931,0.11123314170007115,0.041362824287710084,0.026789195726830427
S3,STAI,662,4,0.22190665664599124,0.19172298018370934,0.15061371559349895,-0.0001054240055151349
S3,PSS-10,663,4,0.15540318377910375,0.13834230098081302,0.10422257818299592,-0.003153198619949345
S2,CES-D,451,7,0.26128045654907806,0.315572654190814,0.23403900098093752,-0.02084458365469543
S2,STAI,451,7,0.535190018062181,0.5105115890809319,0.48801648283460664,-0.05701647176086882
S2,BAI,451,7,0.18355049257760303,0.2024427067599051,0.0989479932402167,-0.06817704690470651
