Model_1,Model_2,tau,p
Elastic Net,Ridge,0.8366600265340755,0.05220363534131463
Elastic Net,Random Forest,0.5976143046671968,0.16551785869746993
Elastic Net,SVR,0.8366600265340755,0.05220363534131463
Ridge,Random Forest,0.39999999999999997,0.48333333333333334
Ridge,SVR,0.6,0.23333333333333334
Random Forest,SVR,0.7999999999999999,0.08333333333333333
