Outcome,Features,Model,N,R2_kfold,R2_kfold_std,R2_kfold_ci_lo,R2_kfold_ci_hi
STAI,Personality,Elastic Net,498,0.5148975443547666,0.09305073555565459,0.31592605440188193,0.66725670334844
STAI,Personality,Ridge,498,0.5158970044994318,0.09325707334768091,0.3153540815426708,0.6667142000955055
STAI,Personality,Random Forest,498,0.5044717210422652,0.09579926412325564,0.2759042225087729,0.6436746966291833
STAI,Personality,SVR,498,0.4673050615947927,0.09602333399305135,0.25981347304231883,0.6214261354520444
STAI,Behavior,Elastic Net,363,-0.021557348563022417,0.06584492145144481,-0.17393667301075477,0.07111038079265804
STAI,Behavior,Ridge,363,-0.021030462838408745,0.06489838114925997,-0.16390969314880427,0.066737692749209
STAI,Behavior,Random Forest,363,-0.030763861693549294,0.08435532521747156,-0.20602904337167033,0.10251591766823387
STAI,Behavior,SVR,363,-0.021846521339340327,0.0658682370424423,-0.1748373389093031,0.07042100851564724
STAI,Pers + Beh,Elastic Net,363,0.5289596534571686,0.08812368411945094,0.3709771790370098,0.6615966412916697
STAI,Pers + Beh,Ridge,363,0.5295708669382988,0.08777404027705962,0.3733992448746139,0.6595950953400851
STAI,Pers + Beh,Random Forest,363,0.4834205989576045,0.10518845257608915,0.2589485552954828,0.6359478001856106
STAI,Pers + Beh,SVR,363,0.43003380394046153,0.09589609701454141,0.2306899623453071,0.589866605468668
