Outcome,Features,Model,N,R2_kfold,R2_kfold_std,R2_kfold_ci_lo,R2_kfold_ci_hi
CES-D,Personality,Elastic Net,498,0.2587438401966229,0.1268350219173955,-0.049493070159374666,0.4384045940174679
CES-D,Personality,Ridge,498,0.2597315712644905,0.1267262554052917,-0.04593810222421812,0.43977939007499306
CES-D,Personality,Random Forest,498,0.2836350577589497,0.14512682121693646,-0.03881923900254374,0.5161471479878484
CES-D,Personality,SVR,498,0.18541117534865761,0.12918905406277761,-0.09932552310578399,0.38517912743468175
CES-D,Behavior,Elastic Net,363,-0.02428707914013991,0.059904971039999366,-0.18330584313818657,0.048973788683803726
CES-D,Behavior,Ridge,363,-0.022710585434008522,0.06005428396688707,-0.17809543777827846,0.047825175202731704
CES-D,Behavior,Random Forest,363,-0.034925478619732636,0.08397639577616012,-0.2638293071984263,0.07603037560312063
CES-D,Behavior,SVR,363,-0.10817452355966793,0.08441584459514324,-0.2853272349473157,0.01707478818931514
CES-D,Pers + Beh,Elastic Net,363,0.3002045094168062,0.12819033691523887,-0.0008797735981651879,0.48100825767533417
CES-D,Pers + Beh,Ridge,363,0.30473485654364746,0.13002663870983028,0.0008350997829210706,0.5044487702660385
CES-D,Pers + Beh,Random Forest,363,0.31274224056152067,0.1552724361352702,-0.03961823700874225,0.5847649804604368
CES-D,Pers + Beh,SVR,363,0.2433205011035253,0.12045891350635698,-0.03974670876745234,0.4428171748134711
STAI,Personality,Elastic Net,498,0.5148975443547666,0.09305073555565459,0.31592605440188193,0.66725670334844
STAI,Personality,Ridge,498,0.5158970044994318,0.09325707334768091,0.3153540815426708,0.6667142000955055
STAI,Personality,Random Forest,498,0.5044717210422652,0.09579926412325564,0.2759042225087729,0.6436746966291833
STAI,Personality,SVR,498,0.4673050615947927,0.09602333399305135,0.25981347304231883,0.6214261354520444
STAI,Behavior,Elastic Net,363,-0.021557348563022417,0.06584492145144481,-0.17393667301075477,0.07111038079265804
STAI,Behavior,Ridge,363,-0.021030462838408745,0.06489838114925997,-0.16390969314880427,0.066737692749209
STAI,Behavior,Random Forest,363,-0.030763861693549294,0.08435532521747156,-0.20602904337167033,0.10251591766823387
STAI,Behavior,SVR,363,-0.021846521339340327,0.0658682370424423,-0.1748373389093031,0.07042100851564724
STAI,Pers + Beh,Elastic Net,363,0.5289596534571686,0.08812368411945094,0.3709771790370098,0.6615966412916697
STAI,Pers + Beh,Ridge,363,0.5295708669382988,0.08777404027705962,0.3733992448746139,0.6595950953400851
STAI,Pers + Beh,Random Forest,363,0.4834205989576045,0.10518845257608915,0.2589485552954828,0.6359478001856106
STAI,Pers + Beh,SVR,363,0.43003380394046153,0.09589609701454141,0.2306899623453071,0.589866605468668
BAI,Personality,Elastic Net,498,0.15674313989255625,0.18208806713519837,-0.1990661100794634,0.359761599072474
BAI,Personality,Ridge,498,0.15578031027247255,0.1833819109520468,-0.21399757559317845,0.3608172659743343
BAI,Personality,Random Forest,498,0.15626728406387216,0.2045464325756313,-0.12009617006898861,0.38310975859642615
BAI,Personality,SVR,498,0.11520226980463796,0.1649836166291159,-0.1757282208594862,0.3319591143840202
BAI,Behavior,Elastic Net,363,-0.04144584285734085,0.06830220800365408,-0.19839713209197773,0.014608061351709391
BAI,Behavior,Ridge,363,-0.042399992530660124,0.06919287396882551,-0.1999552204174097,0.016001553882017253
BAI,Behavior,Random Forest,363,-0.049829753394939856,0.08963085608677994,-0.20437502078346148,0.054615644063463004
BAI,Behavior,SVR,363,-0.12066181897595712,0.09216124823939655,-0.3443554260040789,0.019334787242720457
BAI,Pers + Beh,Elastic Net,363,0.18175670189605167,0.1394119300057905,-0.0754379169999763,0.36218745909413563
BAI,Pers + Beh,Ridge,363,0.16775134050439072,0.1587775804536115,-0.13730529802652683,0.3787474160711453
BAI,Pers + Beh,Random Forest,363,0.15980361756598327,0.1932807408325757,-0.28030561424532097,0.4461532360565667
BAI,Pers + Beh,SVR,363,0.14946103894257778,0.14241662272900224,-0.1214134382934639,0.39543505919920413
