k,Log-Likelihood,AIC,BIC,SABIC,Entropy,Min_Class_Size,Converged
1,-412.30758289973824,1032.6151657994765,1167.3821998639266,844.2963337618834,1.0,27,True
2,48.45940468868247,321.08119062263506,591.9110956175399,-57.36723145291251,1.0000000001442695,9,True
3,510.8514074244229,-393.70281484884583,13.189961076513441,-962.280826962348,1.0000000000910239,8,True
4,901.4312800731108,-964.8625601462215,-421.9069132904076,-1723.570162297678,1.0000000000721347,6,True
