Label,k,total_N,pooled_r,ci_lo,ci_hi,p_effect,Q,I2,p_heterogeneity,tau2,studies
N → Depression,3,1304,0.44444611101666803,0.2352727495207156,0.6142708964875155,8.3343285826043e-05,24.330947459933796,91.780015951728,5.207171593357707e-06,0.03487325499803951,"S1(r=0.522,N=27), S2(r=0.534,N=498), S3(r=0.305,N=779)"
N → Anxiety/Stress,3,1324,0.6321937172066195,0.383782453752694,0.7952797620157889,1.804317779363629e-05,53.01373711993035,96.22739291992282,3.0776492465633964e-12,0.07892050935133364,"S1(r=0.757,N=27), S2(r=0.699,N=498), S3(r=0.432,N=799)"
N → Loneliness,3,1323,0.13496065731362825,-0.14658901591335338,0.39628241586991875,0.3477402020963103,35.71483103570232,94.40008550509255,1.75639818245088e-08,0.052182395115154656,"S1(r=0.500,N=27), S2(r=-0.140,N=498), S3(r=0.171,N=798)"
E → Loneliness,3,1323,-0.14443868027680357,-0.46463162297713934,0.20915755059936844,0.42549986116418936,58.8722301644092,96.60281257493608,1.6442402994698568e-13,0.08802444189551303,"S1(r=-0.462,N=27), S2(r=0.187,N=498), S3(r=-0.229,N=798)"
C → Depression,3,1304,-0.20930892245408697,-0.29114897693210773,-0.12442762178569344,1.8812476081375706e-06,3.6257905229048784,44.839615323456194,0.16318100054597684,0.0025389252999848265,"S1(r=-0.438,N=27), S2(r=-0.238,N=498), S3(r=-0.163,N=779)"
N → Perceived Stress,2,827,0.5757515180749807,0.07053109837563724,0.8458885110202444,0.028054303947900427,8.419721272212003,88.12312227840195,0.00371172690286925,0.15923230772914207,"S1(r=0.757,N=27), S3(r=0.371,N=800)"
C → GPA,2,248,0.3756694017440876,0.06441379435387413,0.6203123214900582,0.019153788520904103,2.776410479463359,63.98227108718859,0.09566235145204338,0.03962132129309981,"S1(r=0.552,N=28), S2(r=0.263,N=220)"
