Model,S1_R2_loo,S1_N,S2_R2_kfold,S2_N,S2_p_perm,same_direction,S2_sig
Elastic Net,0.1259762737364619,27,-0.022925911712223,220,0.044776119402985,False,True
Ridge,-0.0235346387926747,27,-0.0342707998104467,220,0.1592039800995024,True,False
Random Forest,0.2120059986871467,27,-0.053457312585765,220,0.154228855721393,False,False
SVR,0.0593624704038355,27,0.0274299407672959,220,0.0049751243781094,True,True
