Study,Outcome,Domain,N,R2_personality,R2_pers_ci_lo,R2_pers_ci_hi,R2_sensing,R2_sens_ci_lo,R2_sens_ci_hi,Pers_wins,Delta
S1,PHQ-9,MH,27,-0.5524562671816814,-2.340534824460867,0.24161244767057288,0.1971146682043386,-0.6505447935746151,0.8241397096486068,False,-0.74957093538602
S1,PSS,MH,27,0.39024779497306866,0.011630716817384989,0.7203913434335745,-0.22914802815646723,-1.1160993411679128,0.22102600715771117,True,0.6193958231295359
S1,Loneliness,MH,27,0.20344451126602292,-0.19311582060538965,0.5038437299070095,-0.25467660500385075,-0.6887657110909172,0.2453737494620638,True,0.4581211162698737
S1,GPA,GPA,27,-0.1746755979440732,-0.8387770088779334,0.261556704975837,-1.8510175386064094,-5.57910068677139,-0.2769838402482132,True,1.676341940662336
S2,CES-D,MH,498,0.27879489818441305,0.08827567697422109,0.3913552401436314,-0.010894186874760603,-0.08531402976852079,0.05124984412188309,True,0.2896890850591737
S2,STAI-Trait,MH,498,0.522189873186611,0.40859238109669477,0.6195559258001494,0.0019896061008376443,-0.08970763748297629,0.07370882161624817,True,0.5202002670857734
S2,BAI,MH,498,0.17571050589870915,-0.024581784251697544,0.33352655492994293,-0.03483982397740647,-0.1268766501524944,0.016924028992158932,True,0.2105503298761156
S2,Loneliness,MH,498,0.011336584271848315,-0.1033337419085397,0.06323706631365723,-0.006640416244922029,-0.08886222288750863,0.055472733742176164,True,0.017977000516770345
S2,Self-Esteem,MH,717,0.41208167038761845,0.25957546876319243,0.4950246875520106,-0.007861559661543324,-0.062173637961544646,0.04563443453113502,True,0.4199432300491618
S2,GPA,GPA,220,0.002325270362565508,-0.31974861914394787,0.10302463661091546,-0.04416676157531329,-0.2740602751404183,0.049510833571530646,True,0.0464920319378788
S3,BDI-II,MH,779,0.09108605365174577,-0.008112868137201128,0.16711982636955666,-0.0008638984173652053,-0.08927866334529085,0.06384420500948429,True,0.09194995206911097
S3,STAI-State,MH,799,0.20046611110196047,0.07781167146544155,0.2599506978216738,-0.007361960961631691,-0.0929008017082618,0.042651641527156295,True,0.20782807206359216
S3,PSS-10,MH,800,0.142548956433892,-0.0016565872611101293,0.22087528011833968,-0.009181719042049324,-0.08711437226623624,0.03182430994336482,True,0.15173067547594132
S3,CESD,MH,800,0.09303099195433888,-0.0004880609668646632,0.16703231151403228,-0.010046127063325683,-0.08334388400815,0.03199440071529713,True,0.10307711901766456
S3,UCLA,MH,798,0.09228420092794622,0.0052632298284628135,0.14906585637556075,-0.02312919125698731,-0.08164170232071943,0.016098796509656284,True,0.11541339218493353
