Study,Outcome,N,R2_pers,R2_full,Delta_R2,F_stat,p_value,df_num,df_den,n_beh_features,p_fdr,sig_fdr
S2,cesd_total,363,0.3571283720324896,0.36651405293264516,0.009385680900155569,1.7482792654603307,0.15680133144585517,3,354,3,0.25088213031336826,False
S2,stai_trait_total,363,0.5679051338605623,0.5703735050082341,0.002468371147671844,0.6779558496057371,0.5660167084357637,3,354,3,0.6468762382123013,False
S2,bai_total,363,0.24494636810446258,0.24767110734433395,0.0027247392398713766,0.4273652566630573,0.7335105756702325,3,354,3,0.7335105756702325,False
S3,bdi2_total,588,0.12980103487327355,0.15408979955786795,0.0242887646845944,3.313499994606034,0.005847636617088425,5,577,5,0.0467810929367074,True
S3,stai_state,593,0.22641662611066304,0.24399002279146975,0.017573396680806708,2.705709494997417,0.01984048440505848,5,582,5,0.07936193762023391,False
S3,pss_10,594,0.17569658748887373,0.18954670066295598,0.013850113174082246,1.9926172148586565,0.0779936432908469,5,583,5,0.1559872865816938,False
S3,cesd_total,594,0.11245037234128874,0.13030744738193512,0.017857075040646375,2.39410461026882,0.036473993063599774,5,583,5,0.09726398150293274,False
S3,ucla_loneliness,592,0.10799600363659512,0.11620778418059752,0.0082117805440024,1.0796756094172997,0.3704620128030217,5,581,5,0.49394935040402893,False
