Study,Outcome,N,R2_MLP
S1,PHQ-9,27,-0.2608262556852605
S1,PSS,27,0.13914288393508356
S1,Loneliness,27,-0.4692606834296462
S1,Flourishing,27,-4.057636957266112
S2,CES-D,498,0.1693158555648167
S2,STAI,498,0.48833118038465256
S2,BAI,498,0.14802418504542034
S3,BDI-II,779,0.06751536317562833
S3,STAI-State,799,0.14164939594350323
S3,PSS-10,800,0.08425239820423705
S3,CESD-10,800,0.04944629679876375
S3,UCLA,798,0.00870541275159264
