Outcome,N,R2_gender,R2_gender_pers,R2_full,DR2_pers,F_pers,p_pers,DR2_beh,F_beh,p_beh,gender_beta_step1,gender_p_step1,gender_beta_step2,gender_p_step2
CES-D,363,0.03042755584059864,0.359231116603419,0.36860062469058064,0.32880356076282036,36.535503100926206,1.1102230246251565e-16,0.009369508087161638,1.7460878613989959,0.15724369870812804,2.1510695187165756,0.0008450726720736879,0.5881259456482892,0.2804931430478261
STAI,363,0.023848810381840835,0.5679087543533944,0.5703976883827919,0.5440599439715536,89.65020328705407,1.1102230246251565e-16,0.002488934029397538,0.6817108820713169,0.5637118029308401,2.7386363636363598,0.0031791193514053404,-0.03509465867228316,0.9564749060665685
BAI,363,0.06051809969004751,0.26398760027939316,0.2646545815603859,0.20346950058934565,19.683130946517668,1.1102230246251565e-16,0.00066698128099274,0.10672734485789674,0.9561299750609022,3.947860962566842,2.095952963784665e-06,2.3031535806291337,0.0025839859027708637
