Outcome,N,k,F,p,eta_sq
BDI-II,593,6,1.267107667837602,0.2765241485886635,0.010677833923317462
STAI,594,6,0.9917244890689596,0.4219626340831776,0.008362510059969408
PSS-10,595,6,1.4204255898099374,0.21493324697369767,0.011914280483254245
CESD,596,6,0.8344060600606836,0.5255043310702665,0.007021586489345201
UCLA,594,6,2.4195264197681228,0.03471482526110551,0.02015943981736632
