Model,extraversion,agreeableness,conscientiousness,neuroticism,openness
Elastic Net,0.0011387241192896643,0.20160996414756444,0.4975600277581924,1.101644038780108,0.049397961851374836
Ridge,0.05684201381079154,0.2390482629127369,0.5099899825585044,1.0888290563843208,0.10252181790374892
Random Forest,0.10601830452619117,0.2652835995644551,0.6291049356438498,1.3806156371029352,0.18031186747523034
SVR,0.1184642339904449,0.2570524775331534,0.6478376672257126,1.0521380363994226,0.152297523071296
