Model,extraversion,agreeableness,conscientiousness,neuroticism,openness
Elastic Net,0.0,0.7425853558279519,1.1413340585615306,3.8749296137798184,0.0
Ridge,0.07449274312830037,0.820292448792953,1.2057655251208201,3.8988776173657076,0.08954298347833722
Random Forest,0.3562778818976332,0.4674820092656557,1.1804163944712731,4.217123788166307,0.2140445842802468
SVR,0.9197647271634201,0.8071611434440503,1.4605994644592666,3.828533987220505,0.38323665440613536
