Model,extraversion,agreeableness,conscientiousness,neuroticism,openness
Elastic Net,0.719077583706095,0.5696670592792884,0.44100113042961836,0.504929476172123,0.29078727693456974
Ridge,0.700517908235075,0.5567350794020973,0.4341952952567049,0.49683474742686345,0.2896555612400831
Random Forest,0.8298238418039683,0.4214330512977126,0.45312434275436814,0.4356105403319233,0.1311147094966821
SVR,0.5396242468256336,0.6617252523548388,0.4744902601386928,0.39617334525804704,0.17845415242036758
