Outcome,Feature_Set,Model,N,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,p_perm
STAI,Personality,Elastic Net,799,0.19503025061314821,0.07736681929132683,0.036333197149636606,0.32670796236992944,0.004975124378109453
STAI,Personality,Ridge,799,0.19377324784420558,0.0791055406306036,0.027519770351941423,0.32816795316228925,0.004975124378109453
STAI,Personality,Random Forest,799,0.17832850044104334,0.08729833319794805,-0.0070005279809281715,0.3067080121333707,0.004975124378109453
STAI,Personality,SVR,799,0.16449395791769306,0.07694615853186927,0.004427508111041452,0.2941718708052314,0.004975124378109453
STAI,Behavior,Elastic Net,594,-0.017068946838228218,0.03605285923869203,-0.09698540294380835,0.024926106215009024,0.40298507462686567
STAI,Behavior,Ridge,594,-0.013092887699575588,0.037445551080563695,-0.09229749766085057,0.02983161783765165,0.23383084577114427
STAI,Behavior,Random Forest,594,-0.009041588900227293,0.04929077813072685,-0.12340937376902535,0.05690477310882166,0.05472636815920398
STAI,Behavior,SVR,594,-0.022171064860340525,0.032690644589826616,-0.09552697590704329,0.0001678985833092752,0.6766169154228856
STAI,Pers+Beh,Elastic Net,593,0.2031027961633059,0.08821674656156664,0.040503473291359705,0.3590986105415106,0.004975124378109453
STAI,Pers+Beh,Ridge,593,0.19783538340402707,0.09334894490787907,0.033181250053415656,0.3596103149930546,0.004975124378109453
STAI,Pers+Beh,Random Forest,593,0.16272913528442065,0.08687648463643899,-0.00025890049041993497,0.31725666470986286,0.004975124378109453
STAI,Pers+Beh,SVR,593,0.16016741346166416,0.09855501583387775,-0.029735715726053775,0.32124285963195115,0.004975124378109453
