feature,importance,importance_type
unique_apps_mean,0.06596425849714152,gini_importance
app_switches_mean,0.0650333031896809,gini_importance
app_total_switches,0.05503038585963613,gini_importance
activity_transitions_mean,0.05154584125752376,gini_importance
unique_apps_cv,0.045106512330109295,gini_importance
weekend_weekday_ratio,0.0379298865856918,gini_importance
moving_ratio_mean,0.037673969915993005,gini_importance
movement_entropy,0.033670080215866455,gini_importance
still_ratio_std,0.03251726992474235,gini_importance
distance_traveled_std,0.03249296651897383,gini_importance
app_switches_std,0.03132455507229232,gini_importance
unique_apps_std,0.03112550373621136,gini_importance
moving_ratio_std,0.030591632205704176,gini_importance
moving_ratio_cv,0.026524358414143783,gini_importance
night_usage_ratio,0.026228551054685204,gini_importance
location_variance_mean,0.025990124010069834,gini_importance
gps_total_points,0.025158486473420644,gini_importance
activity_transitions_std,0.02468568830879529,gini_importance
home_stay_ratio,0.023935709141278756,gini_importance
night_usage_std,0.02138075012216681,gini_importance
distance_traveled_mean,0.02129470564496728,gini_importance
distance_traveled_cv,0.019923708762579866,gini_importance
communication_trend_slope,0.019049022006582806,gini_importance
sms_received_ratio,0.016586380534116353,gini_importance
comm_valid_days,0.01633193106635008,gini_importance
app_switches_cv,0.015670644928683666,gini_importance
location_variance_std,0.015114414015942585,gini_importance
still_ratio_mean,0.014091653862987347,gini_importance
radius_of_gyration_mean,0.013731319780508495,gini_importance
max_distance_from_home,0.012047565882906527,gini_importance
gps_valid_days,0.01124540683607085,gini_importance
gps_points_per_day,0.01066312290271334,gini_importance
radius_gyration_cv,0.010409031156302226,gini_importance
app_valid_days,0.009174871001483231,gini_importance
activity_trend_slope,0.008895538988176462,gini_importance
sms_count_std,0.008551952910345549,gini_importance
sms_unique_contacts_mean,0.0074589269758289535,gini_importance
activity_total_samples,0.007404244918933168,gini_importance
activity_valid_days,0.0073238716783776935,gini_importance
n_significant_locations,0.006716802218305067,gini_importance
sms_count_mean,0.0061845381605896655,gini_importance
call_count_std,0.005394051901691378,gini_importance
call_count_mean,0.0035454209730182208,gini_importance
total_unique_contacts,0.002385556416978844,gini_importance
call_duration_mean,0.0022014233211283285,gini_importance
call_unique_contacts_mean,0.00196688764942522,gini_importance
call_duration_std,0.0010900291408540612,gini_importance
call_incoming_ratio,0.0010653428683868944,gini_importance
total_communication_cv,0.0005718006616385892,gini_importance
sedentary_days_ratio,0.0,gini_importance
