Model,Accuracy,Sensitivity,Specificity,Precision,F1-Score,AUC-ROC,PR-AUC
Logistic,0.8695652173913043,0.25,0.9285714285714286,0.25,0.25,0.7619047619047619,0.23583333333333334
Random Forest,0.9130434782608695,0.0,1.0,0.0,0.0,0.5416666666666667,0.16054460043582325
Xgboost,0.9130434782608695,0.0,1.0,0.0,0.0,0.5773809523809523,0.13895790200138025
GNN,0.08695652173913043,1.0,0.0,0.08695652173913043,0.16,0.5,0.08695652173913043
