Model,N,p_features,p_selected,LOO_R²,RMSE,MAE,alpha,l1_ratio
M1: Personality,27,5,2,0.1696277036751962,0.3545888765300878,0.28193001493050224,0.10482448678152913,0.5
M2: Behavior,27,8,1,-0.07874398192312193,0.40415492448258944,0.3232301060811898,0.1626250456463219,0.95
M3: Wellbeing,27,6,0,-0.08833981410487857,0.4059484994761731,0.325303202364073,1.4584752486384351,0.1
M4: Combined (composites),27,19,4,-0.02321290839543888,0.39361504243916806,0.31204888527130015,0.800029900116244,0.1
