Outcome,N,R2_personality,R2_sensing,R2_combined,Top_trait,Top_r
Loneliness,498,0.011336584271848315,-0.006640416244922029,0.019098265421937283,extraversion,0.1872993174768302
Self-Esteem,717,0.41208167038761845,-0.007861559661543324,0.3824572185000813,neuroticism,-0.5904430110613516
SELSA Romantic,497,-0.00523516455545848,-0.015933501964197464,-0.016518469696025426,extraversion,-0.1326664430984528
SELSA Family,497,0.05659223322210238,-0.0225660105648557,0.051064965107117465,neuroticism,0.21314949033691513
SELSA Social,497,0.08642965626703995,-0.03228397658548906,0.0784292533404348,agreeableness,-0.2539628924179145
