Outcome,N,R2_demographics,R2_demo_pers,DR2_personality,p_personality,R2_demo_pers_beh,DR2_behavior,p_behavior
CES-D,363,0.03336493130898055,0.3608343952154517,0.32746946390647114,1.1102230246251565e-16,0.3696560077373733,0.008821612521921596,0.1814755031386046
STAI,363,0.04662566330064333,0.5700745478528825,0.5234488845522391,1.1102230246251565e-16,0.5727524099659178,0.002677862113035334,0.5339267563382666
BAI,363,0.06473545279275983,0.2658580858973999,0.20112263310464007,1.1102230246251565e-16,0.266546404211359,0.000688318313959102,0.9545286634262409
