Outcome,N_obs,N_persons,R2_sensing_between,R2_personality_between,R2_combined_between,R2_within_person,Mean_abs_within_r,Pct_sig_within
PHQ-4 (EMA),3382,460,0.01122335227678537,0.07837675762180488,0.0885895423639259,0.0009321418338190964,0.3522905485390144,0.07653701380175659
PSS-4 (EMA),2,460,,,,,,0.0
Positive Affect,3361,460,0.08533148937764791,0.12524253637138658,0.17256637105879896,-0.002681674702790445,0.33144900803906596,0.05755693581780538
Negative Affect,3362,460,0.012219530404753595,0.06374844999259512,0.07355459901131024,-0.000771323175182966,0.34576612331998974,0.062111801242236024
