Study,Outcome,Predictor,alpha_predictor,alpha_outcome,R2_observed,R2_corrected
S2,cesd_total,Personality (BFI-44),0.8,0.9,0.313,0.4347222222222222
S2,stai_trait_total,Personality (BFI-44),0.8,0.9,0.53,0.736111111111111
S2,bai_total,Personality (BFI-44),0.8,0.92,0.182,0.24728260869565213
S3,bdi2_total,Personality (BFI-10),0.65,0.91,0.087,0.147083685545224
S3,stai_state,Personality (BFI-10),0.65,0.9,0.195,0.3333333333333333
S3,pss_10,Personality (BFI-10),0.65,0.85,0.137,0.2479638009049774
S3,cesd_total,Personality (BFI-10),0.65,0.9,0.091,0.15555555555555553
S3,ucla_loneliness,Personality (BFI-10),0.65,0.89,0.085,0.14693171996542784
S2,cesd_total,Sensing (PCA),0.9316973669820372,0.9,-0.0109,-0.012998975354348736
S2,stai_trait_total,Sensing (PCA),0.9316973669820372,0.9,0.002,0.0023851330925410523
S2,bai_total,Sensing (PCA),0.9316973669820372,0.92,-0.0348,-0.040599113292600957
S3,bdi2_total,Sensing (PCA),0.9316973669820372,0.91,-0.0009,-0.0010615152774495892
S3,stai_state,Sensing (PCA),0.9316973669820372,0.9,-0.0074,-0.008824992442401895
S3,pss_10,Sensing (PCA),0.9316973669820372,0.85,-0.0092,-0.011617001180141126
S3,cesd_total,Sensing (PCA),0.9316973669820372,0.9,-0.01,-0.011925665462705263
S3,ucla_loneliness,Sensing (PCA),0.9316973669820372,0.89,-0.0231,-0.027857818535914874
