Study,Outcome,Features,N,N_pos,Brier_mean,Brier_std,ECE,Sens_at_Spec80
S2,CES-D≥16,Pers-only,719,141,0.14219540356284255,0.013454172507509183,0.03421057611797667,0.4867619047619048
S2,CES-D≥16,Pers+Beh,365,103,0.146046187439366,0.026375829673114744,0.03992482141660849,0.6916363636363636
S2,CES-D≥16,Beh-only,365,103,0.20421951676718175,0.009238528490601604,0.07361952663005299,0.22872727272727275
S2,STAI≥45,Pers-only,719,126,0.12532896821696554,0.013383993181879496,0.030095417442594433,0.5846794871794871
S2,STAI≥45,Pers+Beh,365,92,0.12617630020580223,0.02903554407064315,0.02874610033401387,0.7507777777777777
S2,STAI≥45,Beh-only,365,92,0.1897789255437814,0.009031603822528912,0.029492959899875673,0.25588888888888883
S3,BDI-II≥14,Pers-only,800,316,0.22371181582144442,0.013033201026673538,0.03423698686421814,0.36274798387096774
S3,BDI-II≥14,Pers+Beh,594,234,0.22437136401664282,0.01824654152662088,0.046430674910658463,0.37204710144927533
S3,BDI-II≥14,Beh-only,599,236,0.24085949893269532,0.007284263504304389,0.0632603421255861,0.21277173913043476
S3,BDI-II≥20,Pers-only,800,188,0.16961336287852216,0.010406027221886242,0.011492541164413355,0.40988304093567257
S3,BDI-II≥20,Pers+Beh,594,135,0.16622052703021256,0.01533567977710324,0.018773229833613996,0.44576923076923075
S3,BDI-II≥20,Beh-only,599,136,0.1750754573654004,0.008550514485281425,0.014063597082609102,0.34318681318681327
S3,PSS≥20,Pers-only,800,392,0.22643135173443865,0.014993447981117063,0.010959531878506125,0.448224358974359
S3,PSS≥20,Pers+Beh,594,296,0.2230884407657425,0.021691035987396932,0.04993801022982779,0.48919540229885067
S3,PSS≥20,Beh-only,599,297,0.24715820561199703,0.010062502421332812,0.06515627434172837,0.31385057471264366
