Feature,Modality,N_participants,Split_half_r,Split_half_p,Spearman_Brown_r,CV_between,CV_within,Signal_noise_ratio
steps_avg,Activity,671,0.9953572612239323,0.0,0.9976732293177314,0.49294548970763485,0.2171490367977819,2.2700790985625505
steps_std,Activity,670,0.9814523778400126,0.0,0.9906393803013291,0.3924645579164205,0.3003567460260692,1.3066613722148823
active_bout_count,Activity,671,0.9661646283199815,0.0,0.9827911807624524,0.34664404202157095,0.3426514602082454,1.0116520204259427
sedentary_duration,Activity,671,0.8880115255584997,6.493870159280197e-228,0.9406844328408575,0.18722031195156247,0.3050993099807264,0.6136372840810078
sleep_duration_avg,Sleep,665,0.9846453752492025,0.0,0.992263290488927,0.1336128930113979,0.08625203133811757,1.5490985074614703
sleep_efficiency,Sleep,665,0.9973330189563338,0.0,0.9986647289068201,0.03848867187206736,0.010534639105304089,3.65353492296558
sleep_onset_duration,Sleep,665,0.9804543962217847,0.0,0.9901307478649831,5.269154766129263,0.3010075555722386,17.505058157467815
sleep_episode_count,Sleep,665,0.9399134950874719,1.2085255483347e-311,0.9690261936603421,0.24577127734791246,0.32879699592833495,0.747486383365501
call_incoming_count,Communication,699,0.9907889452099853,0.0,0.9953731635831226,1.2868296124758614,0.6204233122889075,2.074115506279741
call_outgoing_count,Communication,699,0.9937500786373551,0.0,0.9968652433273298,1.4693932404126693,0.6212195166052683,2.3653365696595503
call_incoming_contacts,Communication,699,0.9909974852741075,0.0,0.9954783897054229,1.3940743957982602,0.605586412542838,2.3020239010062764
call_outgoing_contacts,Communication,699,0.9940054708434524,0.0,0.9969937248196156,1.5915112519594585,0.6041360456212171,2.634359037992758
screen_unlock_count,Screen,705,0.9915357190052055,0.0,0.995749872365321,0.5426861917316187,0.3284402923712061,1.6523130819718976
screen_duration_total,Screen,705,0.9856454576419746,0.0,0.9927708432022543,0.4170757257663418,0.3245240203472813,1.2851921571784382
screen_duration_avg,Screen,705,0.9780444286481198,0.0,0.9889003649089492,0.8625348750450282,0.2540870968447134,3.3946425684582113
loc_hometime,Location,638,0.9681829469690909,0.0,0.9838343010339025,0.294710479931457,0.39644289832629764,0.7433869573037265
loc_radius_gyration,Location,638,0.9685528367760303,0.0,0.9840252379126019,2.234821143571373,1.0661791259900926,2.096102886553924
loc_unique_locations,Location,638,0.975913116293331,0.0,0.9878097455257272,0.3772988138233394,0.33339168496167765,1.131698332148592
loc_entropy,Location,638,0.992928639397658,0.0,0.9964517743071426,0.8524928662463741,0.6269375681994284,1.3597731408802682
