Outcome,Approach,Type,R2,CI_lo,CI_hi,N
BDI-II,5 PCA composites,Beh,-0.0008638984173652053,-0.08927866334529085,0.06384420500948429,593
BDI-II,PCA 90% variance,Beh,-0.5155243245511386,-1.7714238559497275,0.055448792407678416,225
BDI-II,Raw Ridge(1),Beh,-2.994514272196887,-8.281501822514679,-0.9197719004189551,225
BDI-II,Raw Ridge(100),Beh,-1.1537187459740892,-3.8513195013956434,-0.19262600856471307,225
BDI-II,Personality only,Pers,0.09462995314432503,-0.010789308184660193,0.19046447231318084,684
BDI-II,Pers+Raw Ridge(10),P+B,-2.03021541501728,-4.942876897606542,-0.53942456049332,225
STAI,5 PCA composites,Beh,-0.007361960961631691,-0.0929008017082618,0.042651641527156295,594
STAI,PCA 90% variance,Beh,-0.5337323743778551,-2.478705375418917,0.11632727717039057,224
STAI,Raw Ridge(1),Beh,-16.720328040874143,-136.22195553047516,-0.8921079926287254,224
STAI,Raw Ridge(100),Beh,-4.255872082571509,-30.814360436474217,-0.14593894434676313,224
STAI,Personality only,Pers,0.19765706674343464,0.04520295598775388,0.3182850177927874,696
STAI,Pers+Raw Ridge(10),P+B,-12.46798740267717,-104.34642922985502,-0.2085743412896883,224
PSS-10,5 PCA composites,Beh,-0.009181719042049324,-0.08711437226623624,0.03182430994336482,595
PSS-10,PCA 90% variance,Beh,-0.5243654157708492,-1.3866480568426554,0.05571110041836638,225
PSS-10,Raw Ridge(1),Beh,-5.701690773860399,-20.23999781771882,-1.1823125144936164,225
PSS-10,Raw Ridge(100),Beh,-1.800187866055944,-6.41452803279849,-0.44324930656456274,225
PSS-10,Personality only,Pers,0.15390300375680632,0.007524843779952263,0.23576234475757263,697
PSS-10,Pers+Raw Ridge(10),P+B,-3.0923117243923293,-10.136502586805104,-0.6225326892568808,225
CESD,5 PCA composites,Beh,-0.010046127063325683,-0.08334388400815,0.03199440071529713,596
CESD,PCA 90% variance,Beh,-0.28889010900966117,-1.4038546150781372,0.19575909131810199,225
CESD,Raw Ridge(1),Beh,-3.5928674947197847,-10.439891824476009,-0.5664638001278461,225
CESD,Raw Ridge(100),Beh,-1.1393963993453333,-4.019883277193496,-0.1257919642256934,225
CESD,Personality only,Pers,0.0967888142759805,0.00261468723492977,0.16039898594125113,697
CESD,Pers+Raw Ridge(10),P+B,-2.6438714510951358,-6.8855681063894085,-0.45297633293351,225
UCLA,5 PCA composites,Beh,-0.02312919125698731,-0.08164170232071943,0.016098796509656284,594
UCLA,PCA 90% variance,Beh,-0.5099732916126404,-1.6834635358288117,-0.06198730792390463,223
UCLA,Raw Ridge(1),Beh,-5.381293335714203,-25.000949594823137,-0.9318716226657664,223
UCLA,Raw Ridge(100),Beh,-1.625815505222634,-6.159631419027379,-0.3167178411616741,223
UCLA,Personality only,Pers,0.08030456165239855,-0.022806165272005293,0.13340905859402974,695
UCLA,Pers+Raw Ridge(10),P+B,-4.021362456070588,-18.219199469921932,-0.6836503847941261,223
