Outcome,N,R2_personality,R2_beh_PCA,R2_beh_raw28,R2_pers_plus_PCA,R2_pers_plus_raw28
CES-D,498,0.27879489818441305,-0.010894186874760603,-0.16173269800086096,0.3211760935162182,0.21111694139316273
STAI,498,0.522189873186611,0.0019896061008376443,-0.1011100015044483,0.5373738351629873,0.49838941310445384
BAI,498,0.17571050589870915,-0.03483982397740647,-0.10514498677291298,0.17421485155929461,0.12488859280649284
