Outcome,N,R2_means_only,R2_sds_only,R2_cvs_only,R2_all_variability,R2_pers_plus_var,R2_personality
BDI-II,593,0.0002440579697739409,0.013847332597728808,-0.014994918951645895,-0.034946106308332434,0.08574841323507598,0.09462995314432503
STAI,594,0.0019644974548058336,0.0010660546664971182,-0.008686294958215171,-0.034854587564984024,0.18375060773842689,0.19765706674343464
PSS-10,595,0.007629387102443315,-0.01069785791144836,-0.01827945227560155,-0.015410231227559756,0.14545634045093203,0.15390300375680632
CESD,596,0.011442605452153405,0.01821248187401876,-0.00795507284085589,-0.008236858569119621,0.054642046400417726,0.0967888142759805
UCLA,594,-0.02157963484753979,-0.027571982697961236,-0.03088507731991862,-0.06109813398631342,0.04084117330843581,0.08030456165239855
