Study,Outcome,N,Mean_SR_SR_r,Max_SR_SR_r,Mean_Obj_SR_r,Max_Obj_SR_r,SR_Obj_ratio,Harman_1st_factor_pct
S2,CES-D,363,0.24731558683699312,0.575098025437193,0.08118041246797199,0.12607299398448343,3.0464933512695103,0.3264883189189515
S2,STAI,363,0.3169374047841272,0.7136923990801121,0.09043057182600012,0.15882965876865363,3.504759489898559,0.3596256826081841
S2,BAI,363,0.1866980866420631,0.46633123252370645,0.05473030597289092,0.10936738281624264,3.41123776531669,0.301316389245879
S3,BDI-II,588,0.13972775222653153,0.3066400187419564,0.06188830089321945,0.16841720230199833,2.2577409657378436,0.2627379993473009
S3,STAI,593,0.17539736509665182,0.4418226953749205,0.06509401627029293,0.10925706033796043,2.6945236313018563,0.27868741362438687
S3,PSS-10,594,0.139325608456366,0.3759025556163457,0.05735517884035346,0.10249150301030044,2.429172243437248,0.2652736009899432
S3,CESD,594,0.1365041049475823,0.2810989630198839,0.06621578472817084,0.11802145559733268,2.061503997996236,0.2601947288204641
S3,UCLA,592,0.16653464807528254,0.20096082710609567,0.03152611297686041,0.0828740075678325,5.282435173581847,0.26813984314571526
