Outcome,N,R2_ipsative,R2_trend,R2_personality,R2_pers_plus_ipsative
BDI-II,593,-0.04347966343737553,-0.036506596773968746,0.09462995314432503,0.06964254028005293
STAI,594,-0.000191798943195427,0.020797289280718143,0.19765706674343464,0.20535077031340712
PSS-10,595,-0.04048732932722518,-0.021896529414136234,0.15390300375680632,0.12170002889852455
