Study,Outcome,N,Delta_R2,f2,df_num,df_den,Power_alpha05,Power_bonferroni,Min_DR2_80pct
S2,cesd_total,363,0.0093856809001555,0.01481592597847727,3,354,1.0,1.0,0.004005217134166628
S2,stai_trait_total,363,0.0024683711476718,0.005745388555980721,3,354,0.6521106034982264,0.09981231128326418,0.002716315029558212
S2,bai_total,363,0.0027247392398713,0.003621739463246146,3,354,0.26912142329180344,0.03634027661352879,0.004756602076719312
S3,bdi2_total,588,0.0242887646845944,0.028713171530381575,5,577,1.0,1.0,0.0025339877362032196
S3,stai_state,593,0.0175733966808067,0.023244926932967487,5,582,1.0,1.0,0.002245415987864755
S3,pss_10,594,0.0138501131740822,0.017089341465340052,5,583,1.0,1.0,0.002403028250439026
S3,cesd_total,594,0.0178570750406463,0.02053262959064159,5,583,1.0,1.0,0.0025786751375399255
S3,ucla_loneliness,592,0.0082117805440024,0.009291528480355419,5,581,1.0,1.0,0.0026294148739259933
