Outcome,N,R2_completeness,R2_personality,R2_pers_plus_comp,r_completeness_outcome,p_completeness
BDI-II,690,-0.005147822581403783,0.09462995314432503,0.09419905733286678,-0.07957778750821842,0.03663014590366397
STAI,697,-0.0005887746070343792,0.19765706674343464,0.20644441754230197,-0.11563619345536517,0.0022306768035493638
PSS-10,698,-0.02045613632521283,0.15390300375680632,0.14456990707714623,0.0005416384404942802,0.9886031868825701
CESD,699,-0.02253394284990167,0.0967888142759805,0.08779369610941416,0.00927124810942184,0.8066999911066295
UCLA,697,-0.015590966633432428,0.08030456165239855,0.0744297232469239,-0.05279700753250937,0.16381633056504996
