Study,Outcome,Features,N,N_pos,Prevalence,AUC_LR,AUC_RF,Best_AUC,AUC_CI_lo,AUC_CI_hi,Best_Model,Sensitivity,Specificity,PPV,NPV,F1
S2,CES-D≥16,Pers-only,363,103,0.2837465564738292,0.8312972027972029,0.8138951048951049,0.836451048951049,0.7056730769230769,0.9384615384615386,LR,0.8540000000000001,0.7642307692307692,0.6202755847766448,0.9350272575084582,0.7027563479093236
S2,CES-D≥16,Pers+Beh,363,103,0.2837465564738292,0.8277867132867133,0.7901293706293707,0.831153846153846,0.6902884615384616,0.9404807692307693,LR,0.8406363636363636,0.7669230769230769,0.620463317082179,0.9306349605301832,0.6972013187811994
S2,CES-D≥16,Beh-only,363,103,0.2837465564738292,0.5301538461538462,0.4807779720279721,0.5456993006993006,0.39191433566433564,0.6924999999999999,LR,0.6505454545454544,0.5961538461538461,0.4255642571482036,0.8393418327307907,0.4748560122840144
S2,STAI≥45,Pers-only,363,92,0.2534435261707989,0.8653562610229278,0.8339603174603176,0.8663603762492652,0.7366255144032922,0.9820216049382715,LR,0.8546666666666667,0.8305026455026453,0.6688936661034185,0.9479285527070833,0.7321433847020067
S2,STAI≥45,Pers+Beh,363,92,0.2534435261707989,0.8576128747795414,0.8138121693121694,0.8591460905349794,0.7219135802469137,0.9799382716049382,LR,0.8436666666666668,0.8241666666666664,0.6588543225145057,0.9438254054085086,0.721233718429234
S2,STAI≥45,Beh-only,363,92,0.2534435261707989,0.5675846560846561,0.5245161669606114,0.5770840681951793,0.405761316872428,0.7491769547325102,LR,0.6948888888888888,0.5991798941798941,0.4108112158547311,0.8752145440829008,0.4754248082943507
S3,BDI-II≥14,Pers-only,588,234,0.3979591836734694,0.6628326432022084,0.6561987577639752,0.6720904071773637,0.5380952380952382,0.806542874396135,LR,0.7425543478260869,0.6155079365079366,0.5842787752108769,0.8014252702207404,0.6293097249909927
S3,BDI-II≥14,Pers+Beh,588,234,0.3979591836734694,0.6569882677708766,0.6576875431331953,0.6723174603174603,0.5416407867494825,0.7988586956521738,RF,0.7470289855072463,0.6213730158730159,0.5865296917529702,0.8009312534353255,0.640698292646032
S3,BDI-II≥14,Beh-only,588,234,0.3979591836734694,0.5330006901311248,0.5442283471359558,0.5615544340924775,0.4002678571428572,0.685947204968944,RF,0.6718115942028983,0.5516269841269841,0.5262048068175877,0.745306994921911,0.5548771871748627
S3,BDI-II≥20,Pers-only,588,135,0.22959183673469388,0.6781126240908848,0.6466589425067686,0.6822782555608643,0.49347242129850827,0.8318070818070817,LR,0.7374725274725276,0.6568695652173911,0.4280925064234375,0.9042272547297253,0.50951479703891
S3,BDI-II≥20,Pers+Beh,588,135,0.22959183673469388,0.6798979136805223,0.650884535754101,0.6870211286298242,0.5160683760683761,0.8541269841269841,LR,0.7159890109890109,0.6717584541062801,0.4405090638585605,0.8972676729214676,0.509324244356172
S3,BDI-II≥20,Beh-only,588,135,0.22959183673469388,0.5803607262302914,0.5649074162552423,0.6006716568455699,0.44505494505494503,0.7542979242979241,LR,0.6368681318681318,0.636048309178744,0.38198682452707217,0.8692515373144698,0.4418082104467609
S3,PSS≥20,Pers-only,594,296,0.4983164983164983,0.6768800766283525,0.6676260536398467,0.6861681992337165,0.5606709770114943,0.7863218390804598,LR,0.7002413793103449,0.67183908045977,0.7011207931363772,0.7133358114704584,0.6798947764569241
S3,PSS≥20,Pers+Beh,594,296,0.4983164983164983,0.6955681992337164,0.6776670498084292,0.7043888888888888,0.5941666666666666,0.8096925287356321,LR,0.6795977011494253,0.7181724137931035,0.7195264516618934,0.7064728770207762,0.6866099214225523
S3,PSS≥20,Beh-only,594,296,0.4983164983164983,0.5839674329501916,0.5819463601532566,0.60584061302682,0.47556513409961687,0.714705938697318,LR,0.6815287356321841,0.5858390804597702,0.647692240982407,0.6888246719194104,0.6317323326315439
