Study,Outcome,N,R2_additive,R2_N_interactions,R2_all_interactions,R2_random_forest,Delta_N_interact,Delta_all_interact
S2,CES-D,363,0.3211760935162182,0.31536265768811156,0.2925986715964867,0.3192313778767168,-0.005813435828106617,-0.02857742191973145
S2,STAI,363,0.5373738351629873,0.5361477505524787,0.5071407344074209,0.48409737377489204,-0.0012260846105086598,-0.0302331007555664
S2,BAI,363,0.17421485155929461,0.18874720143832793,0.1528699679265596,0.16291533968382937,0.014532349879033318,-0.021344883632735012
S3,BDI-II,588,0.10925371013118401,0.10348229313410147,0.07878552589817024,0.12344126745440213,-0.005771416997082543,-0.03046818423301377
S3,STAI,593,0.20188549241793488,0.19469945711278072,0.15514672997081494,0.16922934191134464,-0.007186035305154159,-0.04673876244711994
S3,PSS-10,594,0.14548540206419858,0.12850641200111662,0.10612668438567419,0.11889782372173201,-0.016978990063081956,-0.03935871767852439
S3,CESD,594,0.07479360805083057,0.05887280448025505,0.043996838604636185,0.07244585384133156,-0.01592080357057552,-0.03079676944619439
S3,UCLA,592,0.07140663665596808,0.06007425762940434,0.005406124905209002,0.05067729499867509,-0.01133237902656374,-0.06600051175075908
