Outcome,N,R2_missingness,R2_personality,R2_pers_plus_miss,Sig_correlations
BDI-II,690,-0.007512006109744287,0.09462995314432503,0.0874240530986788,steps_miss_rate:r=0.117; sleep_miss_rate:r=0.100
STAI,697,0.019433749087904247,0.19765706674343464,0.21618152931742254,steps_miss_rate:r=0.108; sleep_miss_rate:r=0.098; call_miss_rate:r=0.082
PSS-10,698,-0.010603215121070044,0.15390300375680632,0.15200104969831782,
CESD,699,-0.02482230986379099,0.0967888142759805,0.08426105459560684,
UCLA,697,-0.020004017133880763,0.08030456165239855,0.06502033091356511,call_miss_rate:r=0.106
