Outcome,N,R2_inertia_only,R2_personality,R2_pers_plus_inertia,Sig_correlations
BDI-II,575,-0.03172169334352159,0.09218261929930271,0.0841520076285126,
STAI,575,-0.011981878318271142,0.19785868289687947,0.19613409510648555,calls_in_autocorr:r=0.098*
PSS-10,576,0.008736851916290261,0.16056361962168048,0.16204484390683807,calls_in_autocorr:r=0.159*
CESD,577,-0.0018577252905889986,0.10171898328719242,0.08348363896910194,calls_in_autocorr:r=0.150*
UCLA,575,-0.0317065018555637,0.08437004553817441,0.050941200960000294,
