Outcome,N_worst20,N_rest80,R2_pers_worst,R2_beh_worst,R2_both_worst,R2_pers_rest,R2_beh_rest,R2_both_rest
BDI-II,118,470,-0.11685688173714073,-0.048115003962746726,-0.10512758686193312,0.27618430202269584,0.006642542398847722,0.26900529467474493
STAI,119,474,-0.1090294055018907,0.03734015693427208,-0.04063546793733311,0.44340807800465176,-0.012927397208061974,0.4280732645819929
PSS-10,119,475,-0.12022293688926416,-0.14286364479968505,-0.1850501017319684,0.33056671986063096,-0.014295272111820512,0.32427472332815893
CESD,119,475,-0.13503728924692157,-0.11586923949840154,-0.2217991309659069,0.25632950104957464,-0.01639777056871589,0.259422406505302
UCLA,119,473,-0.1354253168367579,-0.13719897107301413,-0.25597378009334065,0.22047234641962915,-0.017271373491709326,0.21521866262129583
