Study,Outcome,Model,N,R2_mean,R2_std,R2_CI_lo,R2_CI_hi
S3,BDI-II,Personality (Ridge),779,0.09108605365174581,0.04729152099777011,-0.008112868137201239,0.1671198263695567
S3,BDI-II,Sensing PCA (Ridge),593,-0.0008638984173652364,0.04570587297286317,-0.08927866334529085,0.06384420500948425
S3,BDI-II,GradientBoosting+Optuna,593,0.006045992518961811,0.03196005016524837,-0.04685859793505145,0.053883851517810936
S3,BDI-II,1D-CNN,690,-0.04468623827672751,0.05330304561160499,-0.14489943612476652,0.03091107713893302
S3,BDI-II,MOMENT → Ridge,690,-1.34211702908766,0.2681755534377391,-1.9120525223679645,-0.9839930846775176
S3,STAI,Personality (Ridge),799,0.20046611110196053,0.04840542598202709,0.07781167146544146,0.2599506978216741
S3,STAI,Sensing PCA (Ridge),594,-0.007361960961631681,0.037922977882527846,-0.09290080170826184,0.042651641527156295
S3,STAI,GradientBoosting+Optuna,594,0.004250139298878431,0.023176473919871352,-0.03900793692801159,0.04631996823046617
S3,STAI,1D-CNN,697,-0.07479223511884794,0.06228145898971691,-0.17621693735234445,0.026634711727936064
S3,STAI,MOMENT → Ridge,697,-1.7037671793761233,0.18806856102429517,-2.0491041960220935,-1.3485035794728601
S3,PSS-10,Personality (Ridge),800,0.1425489564338921,0.061064844598980296,-0.0016565872611100183,0.22087528011833968
S3,PSS-10,Sensing PCA (Ridge),595,-0.009181719042049372,0.03215612116113549,-0.08711437226623638,0.03182430994336475
S3,PSS-10,GradientBoosting+Optuna,595,0.004007973497650887,0.032992993279889034,-0.061000328968642,0.05306329015348459
S3,PSS-10,1D-CNN,698,-0.07185786165013826,0.054377585061367875,-0.17339331141837497,-0.004259031548460767
S3,PSS-10,MOMENT → Ridge,698,-1.4469890171702202,0.2617640399551497,-2.0483904940327653,-1.0808017425092162
S3,CESD,Personality (Ridge),800,0.09303099195433896,0.04592746235583088,-0.0004880609668647985,0.1670323115140323
S3,CESD,Sensing PCA (Ridge),596,-0.010046127063325683,0.03157336660665883,-0.08334388400815013,0.03199440071529713
S3,CESD,GradientBoosting+Optuna,596,-0.0032202847494578225,0.02311493356883906,-0.05130778260862958,0.026925488207534893
S3,CESD,1D-CNN,699,-0.031989160498290925,0.04936938768496994,-0.11831998871453152,0.042325970555062854
S3,CESD,MOMENT → Ridge,699,-1.6323473636605492,0.29151278110452994,-2.2181447453766645,-1.17207863497075
S3,UCLA,Personality (Ridge),798,0.09228420092794627,0.04366513243218459,0.0052632298284628135,0.14906585637556083
S3,UCLA,Sensing PCA (Ridge),594,-0.023129191256987335,0.030299754306694727,-0.08164170232071921,0.01609879650965622
S3,UCLA,GradientBoosting+Optuna,594,0.00447403174998604,0.025454355000606367,-0.04310915842411562,0.04977159601902395
S3,UCLA,1D-CNN,697,-0.0744676207307601,0.03833413865202183,-0.13160886068393418,0.003500075208747549
S3,UCLA,MOMENT → Ridge,697,-1.459281846093876,0.2321198860439683,-1.8532922740531943,-1.076929297997085
S2,CES-D,Personality (Ridge),498,0.27879489818441305,0.09425045432626053,0.08827567697422137,0.3913552401436312
S2,CES-D,Sensing PCA (Ridge),363,-0.010894186874760603,0.04176416700129122,-0.08531402976852079,0.05124984412188327
S2,CES-D,GradientBoosting+Optuna,363,-0.02051506421866974,0.03894186138760474,-0.11310335504440666,0.021413595280827178
S2,CES-D,1D-CNN,475,-0.03387289636372539,0.085355325653565,-0.21349182907022546,0.059357073322332046
S2,CES-D,MOMENT → Ridge,475,-1.2910778766075035,0.38755138881746,-2.127468042282707,-0.729928714512326
S2,STAI,Personality (Ridge),498,0.522189873186611,0.053860918323005574,0.408592381096695,0.6195559258001492
S2,STAI,Sensing PCA (Ridge),363,0.00198960610083764,0.04365434376587373,-0.08970763748297629,0.07370882161624817
S2,STAI,GradientBoosting+Optuna,363,-0.0008896914470109074,0.0557149215906814,-0.13245530563205088,0.08967997596951124
S2,STAI,1D-CNN,475,-0.10388776088910703,0.07810187333954577,-0.24981020080490013,-0.005771388247078516
S2,STAI,MOMENT → Ridge,475,-1.0459032772478316,0.24075477048418562,-1.5529020101496605,-0.6613504463821233
S2,BAI,Personality (Ridge),498,0.1757105058987091,0.10237001229840974,-0.02458178425169732,0.33352655492994304
S2,BAI,Sensing PCA (Ridge),363,-0.034839823977406495,0.03941265167692333,-0.1268766501524944,0.016924028992158932
S2,BAI,GradientBoosting+Optuna,363,-0.04054905483257718,0.0377126282901168,-0.1262224182046603,0.011168715604858385
S2,BAI,1D-CNN,475,-0.005973237822155235,0.06727025766517974,-0.1582197240000679,0.08704737127295226
S2,BAI,MOMENT → Ridge,475,-1.2059840459699176,0.3784222578303137,-2.06829641984467,-0.718069053811456
