Model,extraversion,agreeableness,conscientiousness,neuroticism,openness
Elastic Net,0.0,0.0945998809244757,0.7955034496545494,2.701416706155321,0.47157014194169505
Ridge,0.013312247671805938,0.23981018035900295,0.912880827428507,2.7559071186953066,0.5442323050922508
Random Forest,0.1026737763991556,0.07624290351385016,0.5208365893026986,2.461077739370869,0.2869673464749746
SVR,0.5568406437886824,0.673811212894798,0.6641765314460846,2.3316884938895046,0.8750938591237221
